locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
1948,"Compton","o3",0.007,"2022-12-30T07:00:00+00:00","2022-12-29T23:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",12.1,"2022-12-30T07:00:00+00:00","2022-12-29T23:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0238,"2022-12-30T07:00:00+00:00","2022-12-29T23:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.4,"2022-12-30T07:00:00+00:00","2022-12-29T23:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",14.9,"2022-12-30T06:00:00+00:00","2022-12-29T22:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.006,"2022-12-30T06:00:00+00:00","2022-12-29T22:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.5,"2022-12-30T06:00:00+00:00","2022-12-29T22:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0214,"2022-12-30T06:00:00+00:00","2022-12-29T22:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0193,"2022-12-30T05:00:00+00:00","2022-12-29T21:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.4,"2022-12-30T05:00:00+00:00","2022-12-29T21:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.011,"2022-12-30T05:00:00+00:00","2022-12-29T21:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",10.3,"2022-12-30T05:00:00+00:00","2022-12-29T21:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.4,"2022-12-30T04:00:00+00:00","2022-12-29T20:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0224,"2022-12-30T04:00:00+00:00","2022-12-29T20:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",12.4,"2022-12-30T04:00:00+00:00","2022-12-29T20:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.01,"2022-12-30T04:00:00+00:00","2022-12-29T20:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",11.7,"2022-12-30T03:00:00+00:00","2022-12-29T19:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.009,"2022-12-30T03:00:00+00:00","2022-12-29T19:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0247,"2022-12-30T03:00:00+00:00","2022-12-29T19:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.5,"2022-12-30T03:00:00+00:00","2022-12-29T19:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0207,"2022-12-30T02:00:00+00:00","2022-12-29T18:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.014,"2022-12-30T02:00:00+00:00","2022-12-29T18:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",9.5,"2022-12-30T02:00:00+00:00","2022-12-29T18:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.4,"2022-12-30T02:00:00+00:00","2022-12-29T18:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0167,"2022-12-30T01:00:00+00:00","2022-12-29T17:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.3,"2022-12-30T01:00:00+00:00","2022-12-29T17:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.02,"2022-12-30T01:00:00+00:00","2022-12-29T17:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",12.2,"2022-12-30T01:00:00+00:00","2022-12-29T17:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0131,"2022-12-30T00:00:00+00:00","2022-12-29T16:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",8.3,"2022-12-30T00:00:00+00:00","2022-12-29T16:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.2,"2022-12-30T00:00:00+00:00","2022-12-29T16:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.025,"2022-12-30T00:00:00+00:00","2022-12-29T16:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0125,"2022-12-29T23:00:00+00:00","2022-12-29T15:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-29T23:00:00+00:00","2022-12-29T15:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
